feature,RandomForest_mean_importance,RandomForest_selection_freq,LogisticL1_mean_importance,LogisticL1_selection_freq,LogisticElasticNet_mean_importance,LogisticElasticNet_selection_freq,overall_mean_importance,overall_selection_freq,selected_by_n_models
"220_Octane, 2,6-dimethyl-_9.3529",0.009631531267216803,1.0,0.904032709624755,1.0,0.5059112882274449,1.0,0.7206619204435633,1.0,3
"247_Benzene, 1-ethyl-4-methyl-_9.8909",0.006222786779233992,1.0,0.467707390505839,1.0,0.3252641873616766,1.0,0.4387793826578507,1.0,3
"39_Pentane, 2-methyl-_5.6427",0.004091749976475078,1.0,1.4883023736307701,0.8,0.6959322203283663,1.0,0.7838634965287632,0.9333333333333333,3
465_2-Undecanone_15.4493,0.0017971441262851918,1.0,1.304122528163333,0.8,0.6383753082837431,1.0,0.6493220767589071,0.9333333333333333,3
"218_Octane, 2,7-dimethyl-_9.3093",0.007141258005241293,1.0,0.8850737988449316,0.8,0.48797443308540445,1.0,0.6364974599847721,0.9333333333333333,3
"44_Pentane, 2,2,3-trimethyl-_5.8215",0.0035681016339079866,1.0,0.9998791656089095,0.8,0.5486456134161422,1.0,0.5889270374011571,0.9333333333333333,3
"27_Dimethylamine, N-(diisopropylphosphino)methyl-_5.0314",0.002155877527737341,1.0,1.0580117483866842,0.8,0.5737098995186176,1.0,0.5735028183889562,0.9333333333333333,3
354_L-Menthone_12.3215,0.0019873165376577137,1.0,1.1439330254326017,0.8,0.5382686393629811,1.0,0.5709431070079054,0.9333333333333333,3
52_Dimethyl selenide_6.032,0.010452982541408692,1.0,0.5482254807032046,0.8,0.2975381524794314,1.0,0.564695104494446,0.9333333333333333,3
320_unknown_11.349,0.009930915735551289,1.0,0.571576956966929,0.8,0.2788616660981262,1.0,0.5460264029086821,0.9333333333333333,3
613_unknown_21.7549,0.0022962013296000507,1.0,1.1336372539004065,0.8,0.4451217061837426,1.0,0.5328693783619329,0.9333333333333333,3
174_1-Penten-3-one_8.4343,0.007277930775068731,1.0,0.6056180713093003,0.8,0.3690493207171929,1.0,0.5208606829242438,0.9333333333333333,3
562_Anthracene_19.1469,0.0007109936658182758,1.0,1.0288113139778134,0.8,0.5055876343452277,1.0,0.49294935701970655,0.9333333333333333,3
"425_Pentadecane, 6-methyl-_14.1381",0.004885121258892112,1.0,0.70377988584519,0.8,0.3206666526527492,1.0,0.45113644418149473,0.9333333333333333,3
11_Butane_4.6389,0.0043370060233728315,1.0,0.5746995108959024,0.8,0.30972021169966435,1.0,0.40128416461956945,0.9333333333333333,3
414_Hippuric acid_13.8591,0.010658460109810305,1.0,0.19051298949208167,0.8,0.1082004652839598,1.0,0.3997761927886631,0.9333333333333333,3
"505_Benzene, (1-propylnonyl)-_16.7218",0.002580895686440072,1.0,0.5656179325208112,0.8,0.3647130496089126,1.0,0.3752913952176031,0.9333333333333333,3
598_unknown_20.7843,0.0012098196154747027,1.0,0.5802346145667818,0.8,0.4280651714898996,1.0,0.36963841443649387,0.9333333333333333,3
524_3-Aminocarbazole_17.3818,0.00749816931464501,1.0,0.32542355812764173,0.8,0.1682043803165786,1.0,0.36821449538244727,0.9333333333333333,3
546_unknown_18.5052,0.0014080403733480382,1.0,0.7554562498284059,0.8,0.320170956179303,1.0,0.3628815745385041,0.9333333333333333,3
532_unknown_17.7166,0.0021801050340389083,1.0,0.5596870519672971,0.8,0.3402696655915908,1.0,0.35077578450641783,0.9333333333333333,3
492_Tetracosane_16.1751,0.003228211855962031,1.0,0.5730587445095361,0.8,0.26373853292029564,1.0,0.34713432873640987,0.9333333333333333,3
"238_Nonane, 2-methyl-_9.6574",0.002507183193741065,1.0,0.5886528239474556,0.8,0.2855650326289787,1.0,0.3404293726263628,0.9333333333333333,3
226_unknown_9.452,0.0015316339473781405,1.0,0.6171810905413492,0.8,0.28170439847712775,1.0,0.31702776963313445,0.9333333333333333,3
"525_Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester_17.4268",0.002124403033415276,1.0,0.5063806616425386,0.8,0.2923598409417968,1.0,0.31429383254085336,0.9333333333333333,3
444_Tricosane_14.9155,0.005107026902054581,1.0,0.32243237050217777,0.8,0.17053706448966036,1.0,0.3001742145957081,0.9333333333333333,3
201_unknown_8.9681,0.004134241002084174,1.0,0.30558563574946584,0.8,0.20271914571084051,1.0,0.2839526923412481,0.9333333333333333,3
281_Octanal_10.4446,0.0023095326091386037,1.0,0.4378810312680579,0.8,0.19727606764956607,1.0,0.25871193333780407,0.9333333333333333,3
560_Anthrone_19.0108,0.0019609924399390435,1.0,0.36811363380262574,0.8,0.24276916237448107,1.0,0.25489324746268577,0.9333333333333333,3
"57_3-Hexene, (Z)-_6.1962",0.002722420222736226,1.0,0.2789666784212659,0.8,0.23280877188290444,1.0,0.251965329152491,0.9333333333333333,3
596_unknown_20.6821,0.0027178681348320297,1.0,0.3783141664210579,0.8,0.15708729110293396,1.0,0.23781707833245047,0.9333333333333333,3
501_unknown_16.5692,0.0007551407278679241,1.0,0.4430190484708747,0.8,0.24194546869817324,1.0,0.23673691947816256,0.9333333333333333,3
663_Triacontane_25.6092,0.0014488996968439285,1.0,0.29445445050231883,0.8,0.24292714816596325,1.0,0.2238040814487008,0.9333333333333333,3
"163_Oxirane, (methoxymethyl)-_8.3017",0.0008367513780041076,1.0,0.3426896645737251,0.8,0.1838315103137571,1.0,0.18876870976630852,0.9333333333333333,3
10_3-Aminopropionitrile_4.6286,0.0011357950012162658,1.0,0.7238362777841352,0.8,0.4859765398399631,0.8,0.4274185113173082,0.8666666666666667,3
469_Tridecanal_15.6037,0.002369816658426278,1.0,0.6024364323896487,0.8,0.37388286737834536,0.8,0.38188392091544365,0.8666666666666667,3
242_unknown_9.7795,0.0038584095766381306,1.0,0.5779851289073754,0.6,0.20218627004799164,1.0,0.3368060269695823,0.8666666666666667,3
